Год,Тип,Всего,Тувинский_ңөү_кол,Тувинский_ңөү_%,Тувинский_рус_клав_кол,Тувинский_рус_клав_%,Русский_кол,Русский_%
2024,Посты,2708,2071,76.48,62,2.29,575,21.23
2024,Комментарии,2414,184,7.62,468,19.39,1762,72.99
2025,Посты,9991,4652,46.56,502,5.02,4837,48.41
2025,Комментарии,8147,566,6.95,1889,23.19,5692,69.87
